company_id,company_name,description,job_hash
22630,GEICO GENERAL INSURANCE COMPANY,"Job Description

Ready to make an impact? If so, read on!

If so, do you meet these qualifications?

Job Description:

The Telecom/VoIP team is seeking an experienced and highly motivated Database Developer to own database development and automation scripting for the VoIP processes and databases. The candidate must be able to write highly efficient stored procedures/SQL; performance tune application developers SQL queries, develop ETL jobs, perform data profiling, and data quality analysis.

The candidate must also be able to write PowerShell scripts that interact with Windows Servers both remote and locally; Write scripts that can automate installs of application code for the speech application installs; Write scripts that can export data/logs that can be imported into Splunk. Must be able to work with Splunk to create dashboards and understand logging from different VoIP system components.

Would you like to join this innovative team?

Candidate Qualifications:

* Minimum 3 years' experience with SQL Server and SQL Queries

* PowerShell scripting experience

* Linux/UNIX scripting experience

* Splunk Queries and Dashboarding

* Bachelor's Degree in Information System, Computer Science (or similar) is required

Desired Skills:

* Experience Windows Administration

* Cisco Call Manager Experience

* Database Architecture

* Application database development

* Experience with ETL or BI tools

* Experience with SSIS and SSRS

About Geico

For more than 75 years, GEICO has stood out from the rest of the insurance industry! We are one of the nation's largest and fastest-growing auto insurers thanks to our low rates, outstanding service and clever marketing. We're an industry leader employing thousands of dedicated and hard-working associates. As a wholly owned subsidiary of Berkshire Hathaway, we offer associates training and career advancement in a financially stable and rewarding workplace.

Our associates' quality of life is important to us. Full-time GEICO associates are offered a comprehensive Total Rewards Program*, including:

* 401(k) and profit-sharing plans

* Medical, dental, vision and life insurance

* Paid vacation, holidays and leave programs

* Tuition reimbursement

* Associate assistance program

* Flexible spending accounts

* Business casual dress

* Fitness and dining facilities (at most locations)

* Associate clubs and sports teams

* Volunteer opportunities

* GEICO Federal Credit Union

* Benefit offerings for positions other than full-time may vary.

GEICO is an equal opportunity employer. GEICO conducts drug screens and background checks on applicants who accept employment offers.

How to Apply

Click ""Apply for Job"" to complete your application. You will need an active email address and phone number. Please upload your resume, preferably as Word .doc files or PDF. Once you begin your application you can save it and access it later. Your application should include any work and/or internship experience from at least the past five years.",b001b468971737d4cac02cab1b4688f3
1716,Fiserv Inc,"Job Purpose

Production Generalist Associate- Hot Press Operator

2nd Shift: 3:30 pm-12:00 am

Business Description:

Output Solutions at Fiserv delivers business-critical communications to financial institutions, health and property/casualty insurance providers, billers, retailers, travel and entertainment companies and advertising agencies nationwide. With solutions including transactional document production and delivery, card manufacturing and personalization and direct marketing services, we help our clients streamline operations to contain costs, while building customer loyalty and generating incremental revenue.

Output Solutions provides turnkey business communications solutions for the financial services, healthcare, billing, retail, agency, travel and entertainment industries. This group specializes in the production of debit, credit, gift and pre-paid cards; membership and health identification cards; statements; invoices; explanation of benefits and tax forms. The business also provides document management, branded merchandise and direct marketing services, and offers Electronic Document Delivery solutions that allow clients to securely archive and deliver high-volume e-documents, including statements, bills and reports, to their customers.

ESSENTIAL RESPONSIBILITIES:

1. Perform basic and detailed machining and assembly tasks to operate at least one machine and/or perform many manual / assembly duties.

2. Perform repetitious and previously performed work without supervisory and technical assistance. Assistance may be needed for other work.

3. Multi-tasking that requires focused concentration is expected to be learned – must be willing to cross train.

4. Utilizes basic skills and experience background to perform machining and manual tasks.

5. Process transactions necessary for work situations that requires very good working PC user know-how.

6. Improvising sometimes is necessary to solve work problems to maintain work schedules.

7. As necessary, supervisor may assign to assist and help others with work.

8. Work from verbal or written instructions, work specifications, routing sheets, etc.; uses basic math ---- all in English.

9. Perform minor maintenance and work with others to provide assistance with major maintenance projects when assigned.

10. May utilize and/or operate material moving equipment, carts, etc. and use some production tools including hand tools and precision devices.

11. When assigned perform duties and tasks outside department and job to the best of individual skill and ability.

12. Work overtime, weekends, and holidays as work schedules require. In peak periods additional overtime is required.

13. Comply with general work rules -- responsible for quality of own work, housekeeping of own work area, and to work safely.

Physical Requirements:

Work requires incumbent to be mobile and in a standing / walking position with ability to lift up to 50 lbs regularly. Uses hands to handle, finger, or feel objects and to perform keyboarding. Also uses hands and arms to reach and grab objects. Sometimes it is necessary to crouch or kneel. Successful performance requires good vision abilities including close vision.

POSITION QUALIFICATIONS:

Education and Experience:

Generally high school vocational orientated background or related education is preferred, and typically, 3 months to 3 years of fast pace, high volume production experience or similar background or equivalent combination of education and experience is needed to successfully perform job requirements. Time classified in the specific job classifications does not automatically qualify an individual. In addition to the time guidelines, an individual must meet all other job requirements and a company approved job opening must exist.",b003f9a0f67dea31a2cc755ef8ddfd3f
33639,Compass Group Plc,"Summary

ICM is part of Compass Group Plc, the world's leading foodservice company. ICM focus on supplying cleaning services across the country via specialist divisions focused explicitly on customer needs within the retail, leisure, hospitality and corporate office sectors.

This vacancy is exempt from the Rehabilitation of Offenders Act 1974 which means that all convictions, cautions, reprimands and warnings on your criminal record need to be disclosed. An enhanced disclosure from the Disclosure and Barring Service will be applied for in the event of a successful application.

Only relevant convictions and other information will be taken into account, so disclosure will not necessarily be a bar to attaining this position.

Main Responsibilities

We are looking for an enthusiastic and experienced cleaner to join our team. You will be responsible for the daily cleaning of all areas within the contract. Achieving high standards, you will ensure the service is operated safely and hygienically.

* Ensure your assigned areas are kept clean, presentable and safe for customers by following the required policies and procedures.

* To clean public and staff areas.

* Restock consumables as and when required.

* Ensure rubbish bins are maintained and removed when full.

* Main duties will include Dusting, Mopping, wiping and scrubbing surfaces.

* Experience of working in a customer facing environment.

* Able to work individually and as part of a team.

* Previous cleaning experience and knowledge is desirable.

Ideal Candidate

We are looking for an individual who is:

* Passionate

* Well organised

* Hardworking

* A 'Can Do' attitude

* Excellent people skills and be a team player

Package Description

Permanent Cleaners Urgently Needed in Frome, Somerset, £8.25ph … Apply Now!!

Monday to Friday: Before 8AM OR After 5PM

Hours : 5 hours per week

Rate of Pay: £8.25ph

* *Key Holder position / DBS Essential

Plus Company Benefits; including Holiday Pay, Childcare Vouchers, Pension Scheme, Perks at Work ; Discounts for Cinema, Retail, Theme Parks & Attractions and many more…",b0049377638af085dc3ea8b8af448c97
2148,Allied Universal,"**Overview:**

Allied Universal provides unparalleled service, systems and solutions to the people and business of our communities, and is North America's leading security services provider. Allied Universal, North America's leading security services provider, is experiencing tremendous growth. For all full-time positions, we offer medical, dental, vision, flex spending, 401K, an anniversary bonus, and an on-the-spot recognition program.  We promote from within our company! You can start with little, to no, security experience and become one of Allied Universal's many success stories.

Apply to join the LARGEST SECURITY COMPANY in the United States!

* *Job Description:**

Allied Universal Services is currently searching for a **Professional Security Officer** .

The Professional Security Officer is the heart of Allied Universal Services. Our officers allow us to accomplish our company's core purpose which is ""to serve, secure and care for the people and businesses in our communities"". The Professional Security Officer is responsible for the safety and security of the facilities they protect. Our security officers act as a visible deterrent to crime and client rule infractions; they detect and report suspicious, unsafe or criminal acts at or near their assigned posts which may be a threat to the property, clients, guests or employees at the site. Although essential activities may differ based on the facility at which they work, below are some of the standards:

+ Ensure the facility is provided with high quality security services to protect people and property

+ Report safety concerns, security breaches and unusual circumstances both verbally and in writing

+ Build, improve and maintain effective relationships with both client employees and guests

+ Answer questions and assist guests and employees

+ Answer phones or greet guests / employees in a professional, welcoming manner

* *Physical and Mental Functions:**

+ Stand or walk constantly (for up to an entire shift) on various surfaces (tile, concrete, carpet)

+ Climb stairs, ramps, or ladders occasionally during shift

+ Occasionally bend/twist at waist/knees/neck to perform various duties

+ Occasionally lift or carry up to 40 pounds

+ Run as needed

+ Constant use of both hands and arms in reaching/handling/grasping/fingering while using phone, notepad, writing reports, and other administrative tasks

+ Constant use of eyes (correctable vision to normal level required) to observe, read, interact with public and co-workers, view security monitors; includes hand/eye coordination

+ Work in various environments including adverse outdoor conditions such as cold, rain or heat;

+ Constant mental alertness and attention to detail required while setting priorities and following up on assignments

* *Qualifications/Requirements:**

Qualified applicants for the **Professional Security Officer** position will meet the minimum requirements, as described below:

+ High school diploma or equivalent required

+ At least 18 years of age

+ Must possess effective written and oral communication and interpersonal skills with ability to deal with all levels of personnel and the general public in a professional and effective manner; must be able to use initiative and independent judgment within established guidelines

+ Must be able to frequently prepare written reports and logs in neat, legible handwriting; may require computer skills

+ Must be able to read and understand all operating procedures and instructions

+ Must be able to obtain a valid Guard License as required in the state for which you are applying

+ As a condition of employment, employee must successfully complete a background investigation and a post-offer/pre-employment drug/alcohol test

+ As a condition of continued employment, employee must maintain current active status of all required License at all times, and must carry the license at all times while on duty

+ Must display exceptional customer service and communication skills

+ Remain flexible to ever changing environments; adapt well to different situations

+ Intermediate computer skills to utilize innovative, wireless technology at client specific sites

+ Ability to maintain satisfactory attendance and punctuality standard;

+ Neat and professional appearance

+ Ability to provide quality customer service

+ Ability to handle both common and crisis situations at the client site, calmly and efficiently

+ Read, understand and clearly speak English; constantly use speech and hearing (correctable to normal level required) in communicating with public/co-workers, giving and receiving instructions, using phones

+ Must be able to handle pressure of working with high volume general public (constantly to occasionally depending on assignment)

* *Closing:**

Allied Universal provides unparalleled service, systems and solutions to the people and business of our communities, and is North America's leading security services provider. With over 140,000 employees, Allied Universal delivers high-quality, tailored solutions, which allows clients to focus on their core business. For more information: 866.825.5433 or www.AUS.com .

We proudly support the Veteran Jobs Mission, a group of over 200 companies that have committed to collectively hiring a total of one million military veterans.

* *EOE/Minorities/Females/Vet/Disability**

Allied Universal Services is an Equal Opportunity Employer committed to hiring a diverse workforce.

* *Requisition ID:**

2016-92776

* *Job Locations** _US_ _-_ _NY_ _-_ _Brooklyn_

* *Total Hours** _.._

* *Category** _Security Officer_

* *Workdays** _Monday - Friday, Saturday - Sunday_

* *Shifts** _Afternoon, Morning, Overnight_

* *Posted Date** _10/12/2016 2:04:00 PM_",b00574839f24906eebb1aafe2088f196
8812,HD Supply Holdings Inc,"Requisition #19875Select LocationLas Vegas,NVFunctional AreaManagementLine of BusinessWaterworksJob TypeFull-TimeMinimum Travel PercentageNoneRelocation ProvidedYes

Company Overview

HD Supply (www.hdsupply.com) is one of the largest industrial distributors in North America. The company provides a broad range of products and value-add services to approximately 500,000 customers with leadership positions in maintenance, repair and operations, water infrastructure and residential and non-residential construction sectors. Through approximately 500 locations across 48 states and six Canadian provinces, the company's approximately 13,000 associates provide localized, customer-driven services including jobsite delivery, will call or direct-ship options, diversified logistics and innovative solutions that contribute to its customers' success. With an active commitment to the communities in which we operate, HD Supply associates are part of a thriving organization that supports the virtues of wellness, diversity and inclusion – all of which are top priorities for the company. Equally as important is empowering our associates to grow professionally while providing competitive benefits and compensation. If you're ready to find a rewarding career and achieve your full potential with a growing industry leader, HD Supply is ready for you!

Job Summary

Direct sales and operations activities. Execute sales strategy; develop relationships; and ensure satisfaction via operational excellence. Responsible for talent acquisition, development, retention and adherence to company policy/procedure. This position requires operation of a Company Vehicle or a Personal Vehicle and such operation is done consistently more than 20% of the average work week. If selected for this position, HD Supply will run a Motor Vehicle Record (MVR) report. A requirement of this position is an acceptable MVR report.

Major Tasks, Responsibilities, and Key Accountabilities

* Ensures efficient operations through adherence to policies and procedures and process excellence. Maintains compliance with applicable government regulations.

* Safeguards company assets and associates.

* Ensures appropriate staffing levels to meet service, financial, and operational support demands. Effectively utilizes training programs to develop sales and operations expertise.

* Initiates and builds customer relationships with existing and new customers.

* Acts as liaison to functional leadership to ensure customer satisfaction and problem resolution.

* Monitors local market trends. Develops and executes strategies to grow local market share and aggressively pursues business opportunities.

* Works closely with vendors to maximize sales and increase profitability.

* Accountable for profit and loss and inventory/accounts receivable for assigned location(s). Achieves earnings before interest and tax (EBIT), return on investment capital (ROIC), and return on sales (ROS) goals.

Nature and Scope

* Solutions require analysis and investigation.

* Achieves planned results by decisions and actions based on professional methods, business principles, and practical experience. May recommend/make decisions regarding new programs/initiatives that have significant impact to the business and carry consequences in unsuccessful endeavors.

* Manages a larger team or multiple small teams through direction of subordinate management and/or supervisory staff.

Work Environment

* Located in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable.

* Most of the time is spent sitting in a comfortable position and there is frequent opportunity to move about. On rare occasions there may be a need to move or lift light articles.

* Typically requires overnight travel less than 10% of the time.

Minimum Qualifications

* Must be eighteen years of age

* Must pass the Drug Test

* Must pass the Background Check

* Must pass pre-employment tests if applicable

Education and Experience

* Typically requires BS/BA in a related discipline. Generally 7+ years of experience in a related field. May require certification. Advanced degree may offset less experience in some disciplines.

Preferred Qualifications

* Bachelor's degree.

* Wholesale distribution experience.

* Exposure to Six Sigma or other process improvement methodologies.

* Bilingual (English/Spanish).

* Ability to use computer systems and apply computer systems knowledge to manage day-to-day operations.",b006d9cef7e03fa5367cf1028e755d18
9028,Regions Financial Corp,"At Regions, the Strategic Execution & Business Transformation Partner I leads and manages the dynamics of cross functional process improvement projects. Must be able to lead and motivate cross-functional teams to project completion with assistance from Master Black Belts on Six Sigma training, and project implementation.

Requirements

* Bachelors in a related field

* Five years process improvement experience

This position is exempt from timekeeping requirements under the Fair Labor Standards act and is not eligible for overtime pay.

Preferences

* Six Sigma-Green Belt certification

Responsibilities:

* Effectively manage assignments that may be broad in nature.

* Lead organizational efforts translating strategy into results by converting business needs into executable tactics.

* Maintain accountability and responsibility for quality and accuracy of all deliverables associated with the projects assigned.

* Anticipate impact of projects/changes on end users and develops and executes appropriate change management strategies.

* Proactively identify and shape opportunities to provide or create improved cost experience and/or additional business value.

* Assess and manages risk through the DMAIC lifecycle while working with key stakeholders to deliver risk mitigation plans as needed.

* Develop understanding of current state processes by researching existing workflows, immersing the process, and conducting associate interviews.

* Document and organize findings for use by project team and stakeholders.

* Mentor other associates in developing/honing business knowledge, analytical skills, and change leadership.

Additional Requirements:

* Experience with process improvement, performance management, or change management.

* Advanced in Excel, Visio, PowerPoint, and Word.

* Must have excellent written and oral communication skills.

* Must be able to work independently and as a team with little to no supervision.

* Experience and thorough understanding of DMAIC process, AGILE, Project Management and a keen awareness of the impact of variation.

* Must be able to meet deadlines with a sense of urgency.

* Must have strong analytical, interpersonal and presentation skills.

* Must be able to present information at all levels of leadership to include Executive.

* Must be able to handle multiple assignments and projects simultaneously.

* Experience managing projects and teams.

Additional Preference:

Bachelors degree in Business, Finance, Supply Chain, Management Information Systems, and Industrial Engineering

* ** This role will transition into an Enterprise Operations role following a 24 month experience with the Strategic Execution and Business Transformation Team ***

* ** Education will be considered in lieu of experience ***

EEO / AA / Minorities / Females / Disabled / Veterans",b00708428d172585201e02b51078831b
8649,Chipotle Mexican Grill Inc,"Restaurant Team Member - Crew (2 - Colorado) (16022007)

Description

Building the perfect burrito - and having fun doing it - is the first step to building your career at Chipotle. Sharpen your customer-service and teamwork skills, learn to make great food and get ready to grow. Whether you have experience as a cashier, server, cook, prep cook, dishwasher, housekeeper, bartender or no experience at all, this could be the opportunity to develop into a restaurant manager position. We can offer part time or full time schedules depending on what you are looking for and the needs of the restaurant. We promote most of our managers from within and are looking for that next generation of leaders to apply now.

Our Crew members take pride in preparing and serving Chipotle's delicious food. They know that in order to do this right, they need a clean and organized work area. By consistently following the proper recipes and procedures, and adhering to Chipotle's high standards regarding food preparation, cleaning and sanitation, teamwork and customer service, they help to ensure that the Chipotle customer experience is always the best it can be. Crew members get to learn about and work at a variety of stations: Tortilla, Salsa, Prep, Grill, Expo, and Take-Out. In each area they're greeting and interacting with Chipotle's customers directly, making their meals, while portioning out the ingredients to our standards. Crew members' responsibilities require them to be on their feet working while clocked in, unless on break. If they are not busy, they are expected to take on tasks they see that need to get done, and pitch in to help their teammates.

In addition to following Chipotle's policies and procedures, principal responsibilities include, but are not limited to:

Food Prep

* Following recipes accurately and maintaining food preparation processes such as cooking, marinating, seasoning, and grilling meats; chopping herbs; dicing, cutting, and slicing vegetables

* Completing hot and cold food preparation assignment accurately, neatly, and in a timely fashion

* Preparing food throughout the day as needed, anticipating and reacting to customer volume

* Maintaining appropriate portion control and consistently monitoring food levels on the line

* Maintaining proper food handling, safety, and sanitation standards while preparing and cooking food

Customer Experience

* Providing friendly, quality customer service to each Chipotle customer

* Working toward understanding and articulating Food With Integrity

Miscellaneous

* Consistently and accurately using prep sheets, Road Maps, cleanliness list, and station checklists

* Following Chipotle sanitation standards including washing cookware and utensils throughout the day

* Cleaning equipment, as assigned, thoroughly and in a timely fashion according to Chipotle sanitation guideline

The ideal candidate will:

* Have the ability to develop positive working relationships with all restaurant employees and work as part of a team by helping others as needed or requested

* Have the ability to speak clearly and listen attentively to guests and other employees

* Have the ability to maintain a professional appearance at all times and display a positive and enthusiastic approach to all assignments

* Be able to exhibit a cheerful and helpful attitude, and provide exceptional customer service

* Be able to adapt to changing customer volume levels with a sense of urgency

* Have the ability to demonstrate a complete understanding of the menu

* Be able to follow instructions for recipes and sanitation guidelines

* Have the ability to be cross-trained in all areas of the kitchen and line

* Have the ability to communicate in the primary language(s) of the work location

At Chipotle we don't have multiple job titles for our entry level employees but all of our crew will play the role of dishwasher, cashier, server, host, bartender, cook, prep cook, etc. so be prepared to learn a lot and work hard if you join the team. Most of the jobs that we are hiring for are entry level positions. If you are interested in interviewing for a restaurant general manager or assistant restaurant manager position and have previous restaurant management experience you can search our careers page for more opportunities as we may have some of those positions available. Most of these management positions are filled internally but there are some exceptions.

Primary Location: Colorado - Denver - 0002 - Colorado-(00002)

Work Location:

0002 - Colorado-(00002)

745 Colorado Blvd, Ste A

Denver 80206-4082

Job: Crew

Job Posting: Oct. 13, 2016

Job Number: 16022007",b008f837fbd8221f8a87aad951e2875d
39880,Wells Fargo & Co,"Job Description

The Financial Analyst Program in Commercial Real Estate provides analysts with a strong foundation in credit analysis, and prepares you to understand and identify credit risks so that you can make informed lending decisions. As an analyst, you will participate in Credit Fundamentals, a fundamental credit training course which combines analysts from all lines of business. The training covers the people, credit, and transaction underwriting framework with a specific focus on financial accounting, cash flow analysis, loan structuring and underwriting. Analysts also build upon their analytical knowledge by participating in on-going training classes and seminars during their tenure with the firm.

ADVANCED CREDIT TRAINING

Based on outstanding performance after the program, analysts apply to the Credit Management Training Program (CMTP) which is a 4.5 month classroom course in San Francisco. CMTP focuses on advanced level credit analyses, case studies, and presentations. At the conclusion of CMTP, analysts enter a credit-related role in Wholesale Banking, where their primary clients will be mid-sized companies, large corporations, institutions and real estate developers and investors. Final placement is determined by business need and mutual interest.

RESPONSIBILITIES

You will become an integral part of a team and have the opportunity to assume significant responsibility that may include:

* Researching specific real estate markets to assess market demand, potential for demand and rate growth, competitiveness of comparable properties, and risk presented by new supply

* Participating in property tours and site visits to develop a deeper understanding of the real estate transaction

* Assembling complex financial models that identify the potential financial performance of an asset, underwriting risks associated with demand, rate, expenses, and supply

* Preparing information memorandums and recommendations for the senior credit committee

* Reviewing and assisting in negotiating loan agreements and ancillary documents related to the closing of a transaction

* Understanding client needs and identifying potential cross-sell opportunities for other Wells Fargo products and services

Team members support our focus on building strong customer relationships balanced with a strong risk mitigating and compliance-driven culture which firmly establishes those disciplines as critical to the success of our customers and company. They are accountable for execution of all applicable risk programs (Credit, Market, Financial Crimes, Operational, Regulatory Compliance), which includes effectively following and adhering to applicable Wells Fargo policies and procedures, appropriately fulfilling risk and compliance obligations, timely and effective escalation and remediation of issues, and making sound risk decisions. There is emphasis on proactive monitoring, governance, risk identification and escalation, as well as making sound risk decisions commensurate with the business unit's risk appetite and all risk and compliance program requirements.

Required Qualifications

* 1+ year of experience in one or a combination of the following: financial analysis, credit analysis, statistical analysis, or statement spreading; or a BS/BA degree or higher granted prior to hire date

Desired Qualifications

* Ability to work in a fast-paced deadline driven environment

* Effective organizational, multi tasking, and prioritizing skills

* Excellent verbal, written, and interpersonal communication skills

* High level of initiative and accountability

* Intermediate Microsoft Office skills

* Solid problem solving and decision making skills

* Strong analytical skills with high attention to detail and accuracy

Other Desired Qualifications

* Professional experience through internships, part-time or full-time work, and /or extra-curricular activities in the Commercial Real Estate industry.

* Credit analysis experience in the banking industry

Disclaimer

All offers for employment with Wells Fargo are contingent upon the candidate having successfully completed a criminal background check. Wells Fargo will consider qualified candidates with criminal histories in a manner consistent with the requirements of applicable local, state and Federal law, including Section 19 of the Federal Deposit Insurance Act.Relevant military experience is considered for veterans and transitioning service men and women.Wells Fargo is an Affirmative Action and Equal Opportunity Employer, Minority/Female/Disabled/Veteran/Gender Identity/Sexual Orientation.",b009362b44bb022f98b32cd4d5b7b4cc
28403,Premise Health,"Description

We have an opening for a Full timeOccupational MedicinePhysician for ourworksite health center inFort Wayne, IN

Premise Health, the newest name in onsite healthcare, was formed as a result of two industry pioneers – Take Care Employer Solutions and CHS Health Services – coming together. We believe healthcare should be about helping people get, stay and be well. That's our mission and it's the foundation of everything we do. With more than 40 years of experience, Premise Health manages more than 500 worksite-based health and wellness centers across the country. The company serves more than 200 of the nation's leading employers, including a significant number of the Fortune 1000.

Summary:

Provides direct medical care to client company employees.

Essential Functions:

* Provides episodic, preventive, and acute health care to patients

* Provide occupational health services (i.e., post-offer physicals, occupational surveillance exams, medical monitoring, return to work exams and Worker's Compensation medical

guidance) in some health centers

* Conducts histories and physical examinations and prescribes medications and/or medical treatments based on best practice standards

* Develops treatment plans in collaboration with patients; educates and advises on medical

issues as needed

* Provides referrals both internally and externally to appropriate medical resource or specialty

* Evaluates the effectiveness of medical care and monitors progress of patients

* Identifies emergency situations and provides care within legal scope of practice and as defined by Take Care Health privileging process

* Participates in the development of annual clinic goals and objectives

* Maintains medical records (In some health centers it may be using Electronic Medical Record software)

* May formulate and administer health programs as needed

Provides overall responsibility for the care of patients seen in the health care clinic in theabsence of the Medical Leader

* Other duties as assigned

* This job has no regular supervisory responsibilities

Requirements

Required Qualifications:

* Graduate of an accredited medical school

* At least three years of post-residency clinical experience

* Experience in a occupational healthcare, primary care, urgent care or emergency room setting

* Licensed to practice medicine in the state within which the site is located

* Must be Board Certified in Occupational Medicine, Internal Medicine, Family Practice, Primary Care or Emergency Medicine by the AOA or ABMS

* Must have current state and federal DEA certification

* Current Certification in AHA or ARC Basic Life Support for health care providers isrequired, Advanced Cardiac Life Support may also be required based on contract scope

of services

* Medical Review Officer (MRO) Certification may be required for some positions

* Knowledge of Internet software, Spreadsheet and Word Processing software

Preferred Qualifications:

* Knowledge and experience with Electronic Medical Records

* Knowledge of workplace health and safety concepts and OSHA regulations

Other Qualifications:

Requirements as set forth in the specific contract for the site may include working flexible hours including evenings, nights and weekends. Travel for training may occasionally be required.",b009e00c1588d9355802828da987ec8b
33933,Veolia Environnement SA,"Le/la salarié(e) devraeffectuer des contrôles de conformité des rejets des installations intérieuresau réseau public d'assainissement, sur la base de la réglementation en vigueur,en tenant compte des objectifs du Service (nombre de visites), et en respectanttoutes les règles de qualité, d'hygiène et de sécurité.

Il/elle serasusceptible d'intervenir en milieu industriel (contrôles AND), et réaliser descontrôles en assainissement Non-Collectif (ANC).

Il/elle effectuera lesvisites de manière autonome ou en binôme selon le type de contrôle et devra,pour cela, être capable de soulever des tampons d'accès aussi souvent quenécessaire.

L'activité est untravail d'enquête de terrain, complété par la gestion de dossiers à l'aide dela tablette graphique, jusqu'à l'envoi des rapports incluant le caséchéant des préconisations de travaux, des schémas explicatifs, voire desestimations du coût des travaux sur la base d'un bordereau.

Il/elle pourra êtreamené(e) à court/moyen terme à instruire des autorisations (AMR) ou conventionsspéciales de déversement (CSD).

Il/elle seraresponsable de la facturation de ses visites, et devra être apte à proposer desdevis pour le contrôle des nouvelles constructions (aux promoteursimmobiliers), des immeubles (aux Syndics, Communes…), en vue d'atteindre lesobjectifs du Service.

Il/elle devra être en mesured'assurer le reporting de son activité auprès des Collectivités.

Il/elle devraentretenir de très bonnes relations avec les clients, y compris avec lesServices Techniques des Collectivités.

Il/elle devra êtrecapable de proposer au Responsable de Service des propositions d'améliorations,tant au niveau sécurité, qu'au niveau des outils ou logiciels utilisés.

Il est nécessaire quele/la salarié(e) ait la maîtrise, ou soit capable de les acquérir rapidement,des tâches suivantes:

* lecturede plans et repérage des réseaux d'assainissement (eaux usées, eaux pluviales),

* utilisationde colorants et générateur de fumée pour le repérage des écoulements,

* établissementde rapports circonstanciés des anomalies constatées, proposition de solutionsde mise en conformité, réalisation de métrés…..

* maîtrisedes outils informatiques GCA / VISIO / Agenda Cartographique / Word / Excel,

* êtreun bon relais entre le client (Collectivités, industriels et particuliers), leCSC et le service,

* desconnaissances dans le traitement des effluents non-domestiques serait un plus,

Il doit posséder :

* rigueuret sens de l'organisation, faculté d'écoute et de réflexion,

* PermisB obligatoire.

Poste basé à Meudon (92)",b00a4d26f76007d1a9a436b29d44af08
