currency,date_time,extracted_value_high,extracted_value_low,frequency,job_hash,normalized_annual_high,normalized_annual_high_usd,normalized_annual_low,normalized_annual_low_usd,normalized_currency,normalized_frequency
USD,2024-08-22,45.13,27.40,hourly,749bd2e6052d38a5331d216924029848,93870.40,93870.40,56992.00,56992.00,USD,hourly
USD,2026-08-19,None,15.00,hourly,749a5e37b002c17a3f118d9adc3a5904,None,None,31200.00,31200.00,USD,hourly
USD,2022-06-24,43.00,31.00,hourly,749b429aa15dec233da10d2658f5ce11,89440.00,89440.00,64480.00,64480.00,USD,hourly
USD,2026-03-07,17.63,15.25,hourly,749a69842217d98e22eacd57aa27343d,36670.40,36670.40,31720.00,31720.00,USD,hourly
USD,2024-04-25,171000.00,100000.00,yearly,749ace186dcf35fd108f9434a639cdde,171000.00,171000.00,100000.00,100000.00,USD,yearly
USD,2026-08-25,18.00,17.00,hourly,749baf1cbd285d04a4473d935ce67823,37440.00,37440.00,35360.00,35360.00,USD,hourly
USD,2020-05-30,None,100.00,None,749af40f9494ce4f97d170a121ac6fdb,None,None,208000.00,208000.00,USD,hourly
USD,2023-09-27,29.71,19.80,hourly,749b7531615a3ed28b14630d57df8b9c,61796.80,61796.80,41184.00,41184.00,USD,hourly
USD,2025-06-30,126000.00,78000.00,yearly,749a872be6d4f2d908fce70d759baa54,126000.00,126000.00,78000.00,78000.00,USD,yearly
USD,2025-07-11,23.75,21.75,hourly,749ac743b4977435adb2009fc9f24ad9,49400.00,49400.00,45240.00,45240.00,USD,hourly
USD,2023-07-20,16.50,15.50,hourly,749b29fb1245e18b7d5c8e08a8b5542a,34320.00,34320.00,32240.00,32240.00,USD,hourly
USD,2024-07-18,None,35.50,hourly,749a997bb2cabd73bf114c14bc8594da,None,None,73840.00,73840.00,USD,hourly
USD,2019-03-08,103436.00,50927.00,yearly,749b6ad9819ef527a15a8b909c14b2b8,103436.00,103436.00,50927.00,50927.00,USD,yearly
USD,2025-11-20,None,15000.00,None,749b0b3e14586ea294827831a5720a4f,None,None,15000.00,15000.00,USD,yearly
USD,2025-10-19,16.50,16.00,hourly,749a9715d559d1bfeb5c204474e053c3,34320.00,34320.00,33280.00,33280.00,USD,hourly
USD,2025-01-22,195000.00,128250.00,None,749adff0b917e3596fcb68dd7ab7e68f,195000.00,195000.00,128250.00,128250.00,USD,yearly
USD,2024-09-10,19.00,15.00,hourly,749a698f002dfd468cd4420ac486aadd,39520.00,39520.00,31200.00,31200.00,USD,hourly
USD,2026-03-25,20.00,16.50,hourly,749ae17552cc65d6d4c20722ccb25b78,41600.00,41600.00,34320.00,34320.00,USD,hourly
USD,2022-10-28,14.00,12.00,hourly,749ab1a0e7cb3dce071f52a8d31a21d9,29120.00,29120.00,24960.00,24960.00,USD,hourly
USD,2026-04-15,89273.60,79539.00,yearly,749ad667cefeca1e3d06e0ff100c47ed,89273.60,89273.60,79539.00,79539.00,USD,yearly
USD,2022-02-10,15.99,15.52,None,749af94e8079d576ee08c6fba74193c2,33259.20,33259.20,32281.60,32281.60,USD,hourly
USD,2025-09-25,17.00,15.00,hourly,749b520a2d68e9125edd25e32caafaaa,35360.00,35360.00,31200.00,31200.00,USD,hourly
USD,2024-09-17,None,15.00,hourly,749b8bda6ff5966053855090092ab4bf,None,None,31200.00,31200.00,USD,hourly
USD,2026-01-30,142576.00,66575.00,yearly,749a8c3eb94eb15462fbf6d70da607ff,142576.00,142576.00,66575.00,66575.00,USD,yearly
USD,2023-03-30,25.00,22.00,hourly,749a734fe86f8e04a67b661765e0dfa4,52000.00,52000.00,45760.00,45760.00,USD,hourly
USD,2025-12-23,125000.00,115000.00,None,749a8f479465bf1b6e378c309ea69757,125000.00,125000.00,115000.00,115000.00,USD,yearly
USD,2024-08-14,None,20.00,hourly,749a8de1ab5d432ae4c25bfb5a6ced5d,None,None,41600.00,41600.00,USD,hourly
USD,2022-05-03,193400.00,129000.00,None,749b5e61cfe599249ed5b4628ac9648e,193400.00,193400.00,129000.00,129000.00,USD,yearly
USD,2022-07-17,None,19.50,hourly,749bdcba2e23751ba5c51726f079a0d8,None,None,40560.00,40560.00,USD,hourly
USD,2026-07-02,None,40320.80,None,749bbd1929b68296310962982287bae1,None,None,40320.80,40320.80,USD,yearly
USD,2025-10-05,131298.00,103870.00,yearly,749a856d26668bf6137ad4107c0c6e1e,131298.00,131298.00,103870.00,103870.00,USD,yearly
USD,2025-11-16,125000.00,105000.00,yearly,749adc6925622a86cd7b72845cc9a054,125000.00,125000.00,105000.00,105000.00,USD,yearly
USD,2026-07-17,None,92700.00,yearly,749ba6ecf2402420fa64136af75e9e66,None,None,92700.00,92700.00,USD,yearly
USD,2026-03-25,None,57.50,hourly,749acacd55780478ccd9b12cb420ed85,None,None,119600.00,119600.00,USD,hourly
USD,2024-07-01,200000.00,180000.00,None,749bb945382944b88310eb166433c343,200000.00,200000.00,180000.00,180000.00,USD,yearly
None,2023-08-24,19.00,15.00,hourly,749a70ec59bdf30aaf4cbb5ebac2c2d6,39520.00,39520.00,31200.00,31200.00,USD,hourly
USD,2023-03-26,22.00,15.00,hourly,749b2348f9d412e2a556fca28828837f,45760.00,45760.00,31200.00,31200.00,USD,hourly
USD,2025-02-24,22.00,20.00,hourly,749aa23c98bb9f24dafc474041e39ee7,45760.00,45760.00,41600.00,41600.00,USD,hourly
None,2026-08-07,25.23,20.76,hourly,749add0a6bc588c857dfd5fcac44a084,52478.40,52478.40,43180.80,43180.80,USD,hourly
USD,2023-04-26,125000.00,95000.00,yearly,749bbcdcaac41bb0c2945902274f8f7f,125000.00,125000.00,95000.00,95000.00,USD,yearly
USD,2024-07-05,64000.00,40000.00,yearly,749b9596d9241deb12e4c28bd43e25aa,64000.00,64000.00,40000.00,40000.00,USD,yearly
USD,2023-02-27,25.00,17.00,hourly,749a57fe1ded44c2906aa70d82894e53,52000.00,52000.00,35360.00,35360.00,USD,hourly
USD,2026-06-06,None,18.00,hourly,749b3d7bf20a9dbd5c93ee8e74c46e93,None,None,37440.00,37440.00,USD,hourly
