job_hash,onet_occupation_code
0603a5e5a785e087db1ee166478bcc97,53-3032.00
06041c1a3a11d716e0938f4bfe5ea713,27-2022.00
060432449b567b37b69c8934e3c3cabf,41-2031.00
06044d6c8f6c6f04a79024a1cb2c653f,41-3091.00
06053d36ddf40fa2ad919e4477eac0b2,13-1082.00
06054346ce75442f3a64e786a3dc3e94,43-4051.00
0605457a6b3aaff8c3d3792f9b5d9b93,51-4121.00
06054f15970fbe498f0ad8d0a90e664e,13-1111.00
060584f149f75074f9185b4f43e2df0c,43-6011.00
060627298527c7f145d0afabfeaeaba1,15-1299.08
06068e4be142464f2afa8379312d66d0,35-3041.00
0606a48ffa49b72e08344865756e0f83,11-2022.00
0606e6fbd64b499928a014cf7e69fdfb,11-9041.00
0607435427025063d4865dd67d6f9cb4,15-1299.08
06076fe22175aa23e9612d8ff781e440,41-2031.00
060771ff00ebba35c4cf5cf61dee35e7,13-1051.00
060774f091f90216f52c950fc2cc12bc,29-1127.00
060790d8e3038f3ff27d3bc1914061dd,13-2011.00
0607da046060767e452c3ac7f04a7369,43-4051.00
0607f3114a8ac2bba09324b557da1258,43-1011.00
0608091d75ac9be1c5654021a75e3939,27-1021.00
06080d8bb9e1a80c7378da02ef75b199,51-1011.00
0608255db9f5d73fc6301e0e554318d8,15-2051.00
06082bb408d2400277f176db1cbc40a3,39-9011.00
0608724e362abfd2161d9edd2532d487,53-7065.00
06087d3700630e123ecadbfd9b810376,41-1011.00
0608aa8079797a81ae6b94362934dd7a,49-3042.00
0608ab5f305d7959280775d91d0e363f,17-2199.00
0608d4f4da9a9bfacb4a614b2f78eb5e,53-7065.00
0608e2b65e27649b53ce18ca1596eaaa,43-3051.00
0609315dcde9e613d4c73a5a32762045,21-1012.00
060981a07e01aff91a2cc7a17c649343,43-4171.00
06098b2cbc8a06cf0f5bd21c4afb3f32,13-1151.00
060990b006b626089bef1cf43345ac3d,11-9141.00
060995f18f7bbf0290b873dfecfded80,13-2052.00
0609ae2c5dc8dd9fc62cc9f83c215879,11-9179.01
0609b4b46860aae0f546ec809e5675ca,37-1011.00
0609e69392a9ff92f46e25ab0cee0420,41-2022.00
0609f7de5bef5a730bc6168821047ed9,15-1212.00
060a670155d79110145ba43f820a1737,53-3033.00
060b03cfc14a0a1b49b4977307179a1e,11-9151.00
060b5b6e7c6607c6969b62899dbddb06,15-2011.00
060b7819115ff070ef4a255f1c6dc3b1,15-1252.00
060ba57d937f68ab180a9e0c9a88a488,15-1252.00
060bc4a0d5e38c1b1b49d90fd44f8c5c,35-3031.00
060c41c7f3e92eb180fd7906a5a88b40,53-7062.00
060cac96f3679d5676aa45c7abd45fe7,31-9099.02
060cbfbac4c5399924dd6f173f01f9fa,25-1199.00
060cec5fc80f6f670e47adc35d2dbe54,11-2022.00
060d09fdfab53ad3abee31a715064ad0,29-1141.00
060d7820eeb876e0cc0bdb2388d964ef,11-1021.00
060da7a20e87997e48a1ce24c725e714,53-3033.00
060dc40c4974565fbeba5ca44bd0a4c8,43-4051.00
060dc89586c4a77da09cc656c841d60b,41-4012.00
060e073cdf771016dcf6c64ff0e72ec7,41-2031.00
060e585795798beeb841b675e846220b,43-6011.00
060e5e6b02c1376ded5ad5a42566cd79,35-1012.00
060e6c95319e412c4377fde8a7ba47fe,41-3091.00
060e706e347e2b23e950e74e98589636,43-3021.00
060ea0057a865c1d88be4ec24ea71ac7,27-1026.00
060eaecf3565b6d3904a004172e3f060,33-9099.02
060f296e71d5fb32f00e001263b2af99,29-1051.00
060f3421d3e30d89f443e1d76a0bf7eb,11-3051.01
060ffd336a59ce34b030d10b16fdab10,41-2031.00
061062fe38baac4f38dc738a29450664,51-9161.00
0610e86f954f94792397ec6f1f200a1c,27-2022.00
061120fdc91f6f30f101d92a78df3cdf,29-1141.00
06119fb0a90ace4c1eeda2ebbf9495e8,29-1141.00
0611ad741e7a5ab33fc61bf2298c4ffe,13-2011.00
0611b9bf92b1893f88370a5d5eefc0f8,43-1011.00
0611cef27bf64c2d223bac81a6999da4,29-1071.00
06122071a27725628ce4ef298a93b90f,49-9043.00
06123957751414f9dc6cb289bfd261e8,11-1021.00
061262d10d6f5ca48863d7a3fd60f424,13-1082.00
0612d6a97857de7fd5aca4f118f9b711,49-9021.00
0613061df44a4edd3c3e4a8d7c1d4621,11-2021.00
061376df75e967b8feb615d7239cc4dc,35-3011.00
0613a3ddf542dde0e71ecade3330f211,15-1252.00
0613d5d858176b179495c1a03b660c78,53-3051.00
0613d773b94d5e9076a1059763be6f9a,25-2056.00
06142a7f4a6d44716b846c23662e9beb,29-1141.00
061438106d70c1b60627545a8b059d21,43-1011.00
0614ae6913bca99ef8a278716388858d,19-4099.01
0614cba5683f6ee37d2b17f05e291336,13-1071.00
0615243481d25c5d83afadf4332b41bb,17-2112.00
06157e932c716cc7ec0371db763c8c11,43-3071.00
061586ee16045c2966909be854a1e13a,11-9111.00
06161829406c442a7b1c2c201be970de,19-2042.00
06165ec4f691d03db43ffd3b3460d59b,13-1111.00
0616665d4b033fc8f059b84e23b4e4df,21-1022.00
06168e53e5bd994723074e95fcfb9580,43-1011.00
061696bf6e003c6e90d156187aefa198,11-9111.00
06169d8bebd4f1ff8823967ff863b091,43-9061.00
06170ab8c2848863a29ad61372f74459,15-1212.00
0617163edd04ec7eca247fab434a282a,11-3021.00
06173cf7e1a562d4f56b49c5d1bd88b2,15-2051.00
061750348e23a8d8faec9a2b18778a88,13-1111.00
06177ab3f11feb8a285c1e5cd7009697,13-1121.00
0617be9bc8fb73e891ebf81e1ebe055b,43-1011.00
0617d0288a3d667059a1faaa41cfbadd,43-6011.00
