address,category,certifications,close_date,commission_eligible,compensation,contract_length,division,education_requirements,employment_type,experience_required,job_hash,posted_date,reqid,shift,signing_bonus,site_id,subcategory,time_type,travel_requirements,vacancy_count,work_location
None,None,None,None,None,None,None,None,None,None,None,113aaa08447d3e836ffe17c9d9983997,2025-11-20,krankenpflegehelfer-imc-ueberwachungsstation-m-w-d,None,None,None,None,None,None,None,None
27942 Woodward Ave,Pet Groomer Trainee,None,None,None,None,None,None,None,None,None,113ab424953db6fb2eaf20bdc8cc89a3,2017-12-21,81277826856-51828509595,None,None,None,None,None,None,None,None
N/A,State Treasurer's Office,N/A,N/A,N/A,$8504.00 - $11395.00,N/A,N/A,N/A,Permanent Fulltime,N/A,113ab470a24cef4eae592360298c3f7d,N/A,522932,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hybrid
N/A,N/A,N/A,N/A,N/A,5000000 - 9000000 per YEAR,N/A,N/A,N/A,N/A,N/A,113ab7bce158bb52498bfa8296083431,N/A,N/A,N/A,N/A,N/A,N/A,FULL_TIME,N/A,N/A,N/A
N/A,N/A,N/A,0026-09-01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,113ab836cf15133c2d2d43b33e4eff5b,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
None,Sales & Marketing,None,None,None,None,None,None,None,None,None,113ab83c412aac953ac56dd72cfc52fb,Jun 20 2025  4:03PM,None,None,None,None,None,Full Time,None,None,None
"Platina Heights, Block C, C24, Phase -2, Sector 62,, Noida, IN",Agent,None,None,None,None,None,None,None,None,None,113ab9955f0a7cdf3570b9e2d5babba5,Nov  7 2025 11:42AM,300006645436242,None,None,CX_1,Professional,Full time,None,None,None
"Sterling, Virginia, United States, 20166-9411",Intelligence,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,113abf42f6a770096e301f78e072c7bc,N/A,124991BR,N/A,N/A,N/A,N/A,Full-Time,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,113ac36bb2a0e8fcfdcf0ed26b6fe1e1,N/A,9022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,unbefristet,N/A,113ac3f3332de59c925310e5036dbb0f,N/A,N/A,N/A,N/A,N/A,N/A,Teilzeit,N/A,N/A,N/A
N/A,Nursing All,N/A,N/A,N/A,N/A,N/A,Ochsner Clinic Foundation,N/A,N/A,N/A,113ae5fed1e7471f913a2e54ea6289d3,N/A,REQ_00256659,N/A,N/A,Ochsner,N/A,Full time,N/A,N/A,N/A
410 N 3601 State Rd,Operations Management,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,113ae7b338ee678741ebc3b148b63318,N/A,SUPER005039,N/A,N/A,N/A,N/A,Full Time,N/A,N/A,On-site
None,Laboratory,None,None,None,None,None,None,None,None,None,113ae8a885574fd2880eedb500e2c626,Nov 10 2025  2:40PM,3986524,None,None,None,None,None,None,None,None
"Block 13, City of Elite",CS - Customer Support Services,N/A,2027-08-14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,113aea842ebeca7184a76d4b007ce1e9,N/A,27326,N/A,N/A,N/A,N/A,OTHER,N/A,N/A,"Block 13, City of Elite, Shanghai, UNAVAILABLE, CN, 201206"
UNAVAILABLE,Therapy,N/A,2027-06-18,N/A,USD 60-60 ,N/A,N/A,N/A,N/A,N/A,113aebc893048b7652ea5f46a7543241,N/A,191821,N/A,N/A,N/A,N/A,FULL_TIME,N/A,N/A,"UNAVAILABLE, DENVER, CO, US, 80228"
N/A,Engineering,N/A,N/A,N/A,N/A,N/A,2100 NVIDIA USA,N/A,N/A,N/A,113aefb8f01664c8d14f5d207443c936,N/A,JR2020334,N/A,N/A,NVIDIAExternalCareerSite,N/A,Full time,N/A,N/A,N/A
N/A,LVN and LPN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,113af1e3216134fba77e81b40e893927,N/A,Requisition ID 2026-480791,N/A,N/A,N/A,N/A,Full Time,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,113af5f13240e65948ccd3a50cbcf24d,N/A,2600005Z,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,Retail Store & Pharmacy,N/A,2026-10-27,N/A,N/A,N/A,"9005 CVS Pharmacy, Inc.",N/A,N/A,N/A,113af83a7cbc64e3a86127ec9909b9d0,N/A,R1024734,N/A,N/A,CVS_Health_Careers,N/A,Full time,N/A,N/A,On-Site
N/A,Sales,N/A,2026-09-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,113af9d20d0fb4684a68cc1e65c96619,N/A,633798,N/A,N/A,N/A,N/A,Part-time,N/A,N/A,N/A
